"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Max Air Temperature (F)	Avg Daily Max Heat Index (F)
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1989"	"1989"	"Nov"	"11"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1989"	"1989"	"Dec"	"12"	Missing	Missing
"Total"	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1989"	"1989"			Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1990"	"1990"	"Jan"	"1"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1990"	"1990"	"Feb"	"2"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1990"	"1990"	"Mar"	"3"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1990"	"1990"	"Apr"	"4"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1990"	"1990"	"May"	"5"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1990"	"1990"	"Jun"	"6"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1990"	"1990"	"Jul"	"7"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1990"	"1990"	"Aug"	"8"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1990"	"1990"	"Sep"	"9"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1990"	"1990"	"Oct"	"10"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1990"	"1990"	"Nov"	"11"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1990"	"1990"	"Dec"	"12"	Missing	Missing
"Total"	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1990"	"1990"			Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1991"	"1991"	"Jan"	"1"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1991"	"1991"	"Feb"	"2"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1991"	"1991"	"Mar"	"3"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1991"	"1991"	"Apr"	"4"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1991"	"1991"	"May"	"5"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1991"	"1991"	"Jun"	"6"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1991"	"1991"	"Jul"	"7"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1991"	"1991"	"Aug"	"8"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1991"	"1991"	"Sep"	"9"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1991"	"1991"	"Oct"	"10"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1991"	"1991"	"Nov"	"11"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1991"	"1991"	"Dec"	"12"	Missing	Missing
"Total"	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1991"	"1991"			Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1992"	"1992"	"Jan"	"1"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1992"	"1992"	"Feb"	"2"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1992"	"1992"	"Mar"	"3"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1992"	"1992"	"Apr"	"4"	Missing	Missing
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"1992"	"1992"	"May"	"5"	Missing	Missing
