State,State Code,County,County Code,Year,Year Code,Month,Month Code,Avg Daily Max Air Temperature (F),Avg Daily Max Heat Index (F),Cases
Arizona,4.0,Coconino,4005.0,2005,2005.0,Sep,9,78.5933,81.7113,0
Arizona,4.0,Coconino,4005.0,2005,2005.0,Oct,10,66.7334,79.9812,1
Arizona,4.0,Coconino,4005.0,2006,2006.0,Apr,4,64.572,78.9386,1
Arizona,4.0,Coconino,4005.0,2006,2006.0,May,5,77.0129,81.7171,0
Arizona,4.0,Coconino,4005.0,2006,2006.0,Jun,6,86.9918,84.9902,0
Arizona,4.0,Coconino,4005.0,2006,2006.0,Jul,7,89.6124,87.3093,1
Arizona,4.0,Coconino,4005.0,2006,2006.0,Aug,8,83.727,83.496,2
Arizona,4.0,Coconino,4005.0,2006,2006.0,Sep,9,75.5859,81.5969,1
Arizona,4.0,Coconino,4005.0,2006,2006.0,Oct,10,63.7934,80.6435,0
Arizona,4.0,Coconino,4005.0,2006,2006.0,Nov,11,56.6924,79.3,1
Arizona,4.0,Coconino,4005.0,2007,2007.0,Mar,3,58.5386,79.0659,1
Arizona,4.0,Coconino,4005.0,2007,2007.0,Apr,4,64.8866,80.1881,1
Arizona,4.0,Coconino,4005.0,2007,2007.0,May,5,74.4605,80.7707,1
Arizona,4.0,Coconino,4005.0,2007,2007.0,Jun,6,85.1279,84.689,0
Arizona,4.0,Coconino,4005.0,2007,2007.0,Jul,7,89.8831,87.6666,0
Arizona,4.0,Coconino,4005.0,2007,2007.0,Aug,8,86.5753,85.3737,3
Arizona,4.0,Coconino,4005.0,2007,2007.0,Sep,9,78.3494,82.966,0
Arizona,4.0,Coconino,4005.0,2007,2007.0,Oct,10,67.0128,79.6522,2
Arizona,4.0,Coconino,4005.0,2007,2007.0,Nov,11,59.4246,78.6333,1
Arizona,4.0,Coconino,4005.0,2008,2008.0,Apr,4,61.9243,78.7562,1
Arizona,4.0,Coconino,4005.0,2008,2008.0,May,5,68.062,82.8911,0
Arizona,4.0,Coconino,4005.0,2008,2008.0,Jun,6,83.5719,84.3105,1
Arizona,4.0,Coconino,4005.0,2008,2008.0,Jul,7,87.3077,85.7713,1
Arizona,4.0,Coconino,4005.0,2008,2008.0,Aug,8,86.0449,85.0417,3
Arizona,4.0,Coconino,4005.0,2008,2008.0,Sep,9,79.3115,81.2644,0
Arizona,4.0,Coconino,4005.0,2008,2008.0,Oct,10,67.8298,79.7922,0
Arizona,4.0,Coconino,4005.0,2008,2008.0,Nov,11,57.3692,78.9333,0
Arizona,4.0,Coconino,4005.0,2009,2009.0,Apr,4,61.4511,79.2694,1
Arizona,4.0,Coconino,4005.0,2009,2009.0,May,5,77.4569,81.0372,1
Arizona,4.0,Coconino,4005.0,2009,2009.0,Jun,6,78.5807,83.0218,2
Arizona,4.0,Coconino,4005.0,2009,2009.0,Jul,7,89.9416,86.5941,1
Arizona,4.0,Coconino,4005.0,2009,2009.0,Aug,8,86.9107,84.6398,7
Arizona,4.0,Coconino,4005.0,2009,2009.0,Sep,9,79.7347,81.737,6
Arizona,4.0,Coconino,4005.0,2009,2009.0,Oct,10,63.3976,79.8764,2
Arizona,4.0,Coconino,4005.0,2009,2009.0,Nov,11,57.6722,79.4364,2
Arizona,4.0,Coconino,4005.0,2010,2010.0,Apr,4,59.9009,78.58,2
Arizona,4.0,Coconino,4005.0,2010,2010.0,May,5,67.9454,79.8531,3
Arizona,4.0,Coconino,4005.0,2010,2010.0,Jun,6,83.1548,83.9134,6
Arizona,4.0,Coconino,4005.0,2010,2010.0,Jul,7,88.9503,86.63,5
Arizona,4.0,Coconino,4005.0,2010,2010.0,Aug,8,84.7153,84.5973,1
Arizona,4.0,Coconino,4005.0,2010,2010.0,Sep,9,82.5825,82.6758,4
Arizona,4.0,Coconino,4005.0,2010,2010.0,Oct,10,66.2407,81.7817,5
Arizona,4.0,Coconino,4005.0,2010,2010.0,Nov,11,49.7016,78.85,7
Arizona,4.0,Coconino,4005.0,2011,2011.0,Apr,4,61.9732,78.9603,5
Arizona,4.0,Coconino,4005.0,2011,2011.0,May,5,67.6359,79.8996,5
Arizona,4.0,Coconino,4005.0,2011,2011.0,Jun,6,82.3516,83.4731,6
Arizona,4.0,Coconino,4005.0,2011,2011.0,Jul,7,87.2537,85.1704,5
Arizona,4.0,Coconino,4005.0,2011,2011.0,Aug,8,89.0337,86.2017,5
Arizona,4.0,Coconino,4005.0,2011,2011.0,Sep,9,79.7088,81.8524,4
